,User_ID,Age,Gender,Occupation,Sleep_Hours,Daily_Screen_Hours,Weekend_Screen_Hours,Social_Media_Hours,Caffeine_Cups_Per_Day,Work_Productivity_Score,App_Usage_Count,Exercise_Hours_Per_Week,Daily_Work_Hours,Commute_Hours_Per_Day,Stress_Level,Stressed
0,SR01502,27.0,male,healthcare worker,5.0,3.0,4.0,3.0,4.0,8.0,31.0,6.0,11.0,0.5,10,1
1,SR02587,28.0,female,healthcare worker,5.0,5.5,8.0,3.0,2.0,7.0,25.0,7.0,10.0,1.5,10,1
2,SR02654,29.0,male,freelancer,5.5,7.0,8.0,2.5,0.0,4.0,28.0,4.0,11.0,1.0,10,1
3,SR01056,28.0,other,teacher,9.0,3.5,5.0,3.5,3.0,5.0,34.0,1.0,14.0,0.5,10,1
5,SR00107,20.0,female,student,8.0,5.0,7.5,4.0,1.0,6.0,50.0,4.0,5.0,1.0,10,1
6,SR00590,19.0,other,student,5.0,7.5,8.5,6.5,0.0,4.0,49.0,4.0,7.0,0.0,10,1
7,SR02469,55.0,male,freelancer,8.5,6.0,6.5,0.5,5.0,3.0,41.0,3.1847368421052633,9.0,0.5827832057037232,10,1
8,SR02414,26.0,male,young professional,7.0,3.0,4.5,2.5,1.0,6.0,42.0,6.0,6.0,1.5,10,1
9,SR01601,32.0,male,young professional,7.0,3.5,3.5,1.5,2.0,6.0,28.0,1.0,10.0,0.5,7,0
12,SR00916,40.0,female,healthcare worker,5.5,6.0,5.0,3.0,3.0,8.0,20.0,7.0,10.0,0.5,10,0
14,SR03022,75.0,female,retired,0.5,5.5,10.0,0.0,0.0,9.0,24.0,3.0,3.0,0.0,5,0
15,SR03544,72.0,male,business owner,3.5,7.0,6.5,4.5,3.0,6.0,32.0,2.0,9.0,0.5,10,1
17,SR03352,27.0,other,young professional,6.5,7.0,8.0,3.5,4.0,5.0,47.0,3.1847368421052633,9.0,1.0,10,1
18,SR01745,40.0,female,teacher,4.5,5.0,6.5,4.0,1.0,7.0,18.0,2.0,10.0,0.0,10,1
20,SR00927,77.0,other,retired,5.5,3.5,4.0,0.0,2.0,7.0,12.0,0.0,0.0,1.0,8,0
21,SR03050,54.0,female,teacher,6.5,6.0,9.0,0.0,4.0,5.0,37.0,3.0,9.0,0.5,10,1
23,SR00643,21.0,female,student,6.0,6.5,8.0,2.0,1.0,5.0,52.0,4.0,6.0,0.5,10,1
24,SR04768,41.0,male,healthcare worker,4.5,4.5,5.5,2.5,2.0,6.0,33.0,3.0,10.0,0.0,10,1
25,SR00502,34.0,male,healthcare worker,6.0,4.5,5.5,2.0,3.0,4.0,42.0,5.0,12.0,0.5,10,0
26,SR04067,19.0,other,student,7.5,7.5,10.0,6.0,3.0,9.0,42.0,1.0,6.0,0.0,10,1
27,SR00334,45.0,other,retired,8.0,6.5,9.0,1.5,1.0,6.0,15.0,5.0,3.0,0.0,3,0
28,SR04685,21.0,other,retired,8.5,5.5,6.0,0.5,0.0,8.0,28.51300368092409,5.0,3.0,0.0,2,0
29,SR00487,37.0,male,healthcare worker,5.0,2.5,2.0,2.66384778012685,1.0,6.0,4.0,5.0,9.0,1.0,10,1
30,SR01963,25.0,male,young professional,7.5,6.5,5.5,4.5,3.0,5.0,26.0,6.0,10.0,1.5,10,1
32,SR04843,25.0,female,young professional,5.0,6.0,7.856266889086016,3.5,2.0,6.0,25.0,5.0,9.0,1.5,10,1
33,SR04867,36.0,other,freelancer,6.5,4.5,5.5,3.0,1.0,7.0,32.0,6.0,9.0,0.0,10,1
34,SR01756,19.0,male,teacher,8.5,5.5,9.0,0.5,3.0,6.0,40.0,3.0,7.0,1.5,10,1
35,SR02516,74.0,male,retired,6.5,3.0,4.0,2.66384778012685,3.0,9.0,10.0,0.0,5.0,0.0,4,0
36,SR03586,78.0,female,retired,9.5,2.0,2.5,3.0,0.0,9.0,25.0,4.0,7.138232953037941,1.0,0,0
37,SR04316,45.0,female,healthcare worker,5.0,8.5,11.5,0.0,1.0,7.0,20.0,2.0,7.0,0.0,10,1
38,SR04967,71.0,male,retired,8.5,1.0,1.0,1.5,1.0,8.0,20.0,3.0,7.138232953037941,0.5,3,0
40,SR03600,20.0,male,student,6.0,8.0,10.0,2.0,2.0,7.0,28.0,4.0,1.0,0.0,10,1
42,SR00030,69.0,female,retired,7.5,5.0,7.0,1.0,1.0,7.0,12.0,4.0,5.0,0.5,4,0
43,SR00066,55.0,other,teacher,7.5,6.0,8.5,1.5,0.0,6.0,22.0,4.0,9.0,0.5,5,0
45,SR03907,76.0,female,retired,8.0,1.0,2.0,3.0,1.0,8.0,3.0,5.0,5.0,0.0,3,0
46,SR03774,38.0,other,business owner,5.5,10.0,14.0,3.5,6.0,5.0,31.0,3.0,8.0,0.0,10,1
48,SR03162,29.0,female,teacher,10.0,4.0,7.0,3.5,1.0,7.0,17.0,1.0,6.0,0.0,6,1
49,SR02660,62.0,male,healthcare worker,7.5,1.5,4.0,2.5,6.0,4.0,24.0,1.0,13.0,0.5,6,0
50,SR04616,37.0,male,teacher,6.0,5.0,6.5,6.5,2.0,5.0,22.0,5.0,8.0,1.5,10,0
51,SR04629,48.0,other,retired,6.5,6.0,8.5,3.0,1.0,6.0,10.0,5.0,0.0,0.0,7,0
52,SR02452,43.0,male,teacher,6.5,3.0,6.0,4.0,4.0,8.0,3.0,5.0,8.0,1.5,6,0
53,SR02847,18.0,male,business owner,8.0,5.5,7.5,4.0,3.0,7.0,22.0,4.0,12.0,1.0,7,0
54,SR01145,68.0,other,retired,6.0,7.0,8.5,2.0,0.0,8.0,6.0,5.0,3.0,0.0,7,0
57,SR00169,52.0,male,business owner,7.0,7.0,8.0,2.0,3.0,10.0,52.0,4.0,11.0,0.5,10,1
58,SR01671,23.0,male,student,8.5,9.0,11.5,3.0,2.0,7.0,34.59986436433969,3.0,3.0,1.0,10,0
59,SR02571,19.0,female,student,5.0,10.0,14.0,5.0,1.0,6.0,53.0,3.0,1.0,0.5,10,1
60,SR02378,20.0,female,business owner,4.5,9.5,11.5,4.0,3.0,6.0,61.0,6.0,12.0,0.0,10,1
63,SR03863,27.0,female,healthcare worker,5.0,3.5,3.0,0.0,4.0,7.0,42.0,7.0,8.0,0.5,10,1
64,SR00024,39.0,other,retired,6.5,4.5,6.0,0.0,0.0,9.0,35.0,3.0,7.0,0.0,10,1
65,SR02634,21.0,male,healthcare worker,5.0,4.0,4.0,1.0,2.0,6.0,4.0,3.0,11.0,0.0,10,1
67,SR02216,20.0,female,freelancer,6.5,7.5,12.0,6.0,4.0,6.0,50.0,5.0,6.0,0.5,10,1
68,SR03683,56.0,female,freelancer,6.0,7.0,10.5,2.0,2.0,2.0,65.0,0.0,9.0,0.5,10,1
69,SR04725,28.0,female,young professional,6.0,5.0,5.0,1.5,3.0,6.0,48.0,3.0,11.0,1.0,10,1
71,SR00085,25.0,other,young professional,9.5,9.5,12.0,3.0,3.0,6.0,31.0,3.1847368421052633,10.0,0.5,10,1
72,SR00228,40.0,male,retired,7.0,4.5,5.5,2.66384778012685,2.0,10.0,27.0,3.0,3.0,0.5,4,1
73,SR00297,38.0,other,teacher,9.5,4.0,5.237511259390677,3.5,6.0,10.0,13.0,3.0,4.0,0.0,1,0
