,User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours
0,U1,58,Male,Professional,Android,1.3,6.7,6,8.8,0,42,1,8.7
1,U2,25,Male,Professional,Android,1.2,1.5,5,6.4,0,51,3,5.1
2,U3,19,Male,Student,iOS,5.3,5.7,5,9.0,0,14,5,6.3
3,U4,35,Female,Business Owner,iOS,5.8,2.5,2,5.7,0,36,6,12.8
4,U5,33,Male,Freelancer,Android,7.9,1.3,4,5.7,0,37,5,9.9
5,U6,32,Female,Student,Android,10.9,4.2,9,6.3,1,34,5,3.6
6,U7,26,Male,Student,iOS,5.6,6.1,8,6.7,0,5,3,2.9
7,U8,24,Male,Freelancer,iOS,8.5,1.9,4,7.8,0,6,6,12.8
8,U9,52,Female,Business Owner,Android,9.4,2.5,3,6.4,0,17,3,3.1
9,U10,23,Female,Student,iOS,2.8,1.1,1,4.5,0,7,0,2.7
10,U11,55,Other,Professional,Android,8.3,1.1,8,5.7,1,59,1,7.3
11,U12,45,Other,Business Owner,Android,12.0,6.7,6,4.9,1,12,1,9.2
12,U13,20,Female,Business Owner,iOS,11.1,5.6,3,5.0,0,22,6,4.2
13,U14,19,Female,Freelancer,iOS,9.7,4.1,10,6.0,0,36,6,2.3
14,U15,23,Male,Professional,Android,1.1,2.5,3,5.3,1,29,5,9.2
15,U16,31,Male,Business Owner,Android,11.6,5.5,9,8.9,0,29,0,7.9
16,U17,32,Other,Professional,Android,2.3,7.8,8,4.6,0,40,1,3.4
17,U18,50,Female,Student,Android,10.8,5.7,8,4.5,0,57,0,5.3
18,U19,56,Female,Business Owner,Android,3.3,4.3,2,4.5,0,19,1,5.8
19,U20,19,Other,Professional,Android,3.9,4.2,1,6.0,0,45,2,11.8
20,U21,53,Other,Business Owner,Android,3.3,2.6,7,8.4,0,54,6,7.5
21,U22,30,Other,Professional,iOS,9.5,6.9,2,8.4,1,28,2,3.9
22,U23,59,Female,Freelancer,Android,10.9,4.9,5,8.8,1,31,6,2.7
23,U24,52,Female,Student,iOS,5.5,5.1,4,8.3,1,40,2,12.5
24,U25,44,Female,Business Owner,Android,3.7,4.2,7,6.7,1,40,5,12.0
