User_ID,Age,Gender,Occupation,Sleep_Hours,Daily_Screen_Hours,Weekend_Screen_Hours,Social_Media_Hours,Caffeine_Cups_Per_Day,Work_Productivity_Score,App_Usage_Count,Exercise_Hours_Per_Week,Daily_Work_Hours,Commute_Hours_Per_Day,Stress_Level,Stressed
SR01502,27.0,Male,Healthcare Worker,5.0,3.0,4.0,3.0,4.0,8.0,31.0,6.0,11.0,0.5,10,1
SR02587,28.0,Female,Healthcare Worker,5.0,5.5,8.0,3.0,2.0,7.0,25.0,7.0,10.0,1.5,10,1
SR02654,29.0,Male,Freelancer,5.5,7.0,8.0,2.5,0.0,4.0,28.0,4.0,11.0,1.0,10,1
SR01056,28.0,Non-binary,Teacher,9.0,3.5,5.0,3.5,3.0,5.0,34.0,1.0,14.0,0.5,10,1
SR00706,27.0,Female,Freelancer,5.0,,10.5,3.0,4.0,5.0,24.0,2.0,12.0,0.5,10,1
SR00107,20.0,Female,Student,8.0,5.0,7.5,4.0,1.0,,50.0,4.0,5.0,1.0,10,1
SR00590,19.0,Non-binary,Student,5.0,7.5,8.5,6.5,0.0,4.0,49.0,4.0,7.0,0.0,10,1
SR02469,55.0,Male,Freelancer,8.5,6.0,6.5,0.5,5.0,3.0,41.0,,9.0,,10,1
SR02414,26.0,Male,Young Professional,7.0,3.0,4.5,2.5,1.0,6.0,42.0,6.0,6.0,1.5,10,1
SR01601,32.0,Male,Young Professional,7.0,3.5,3.5,1.5,2.0,6.0,28.0,1.0,10.0,0.5,7,0
SR02465,46.0,Male,Freelancer,,9.5,12.0,2.0,1.0,6.0,54.0,7.0,9.0,,10,1
SR00229,41.0,Female,Healthcare worker,4.0,3.5,3.0,1.5,30.0,8.0,27.0,1.0,11.0,1.0,10,1
SR00916,40.0,Female,Healthcare Worker,5.5,6.0,5.0,3.0,3.0,8.0,20.0,7.0,10.0,0.5,10,0
SR00795,0.0,Female,Freelancer,5.5,9.5,12.0,1.0,4.0,7.0,12.0,2.0,11.0,0.5,10,1
SR03022,75.0,Female,Retired,0.5,5.5,10.0,0.0,0.0,9.0,24.0,3.0,3.0,0.0,5,0
SR03544,72.0,Male,Business Owner,3.5,7.0,6.5,4.5,3.0,,32.0,2.0,9.0,0.5,10,1
SR01074,40.0,Non-binary,Young Professional,5.0,,4.0,2.5,0.0,6.0,29.0,0.0,9.0,1.0,10,1
SR03352,27.0,Other,Young Professional,6.5,7.0,8.0,3.5,4.0,5.0,47.0,,9.0,1.0,10,1
SR01745,40.0,Female,Teacher,4.5,5.0,6.5,4.0,1.0,7.0,18.0,2.0,10.0,0.0,10,1
SR01085,120.0,Female,Teacher,6.5,4.0,4.5,0.0,1.0,7.0,15.0,7.0,8.0,1.5,6,0
SR00927,77.0,Other,Retired,5.5,3.5,4.0,0.0,2.0,7.0,12.0,0.0,0.0,1.0,8,0
SR03050,54.0,female,Teacher,6.5,6.0,9.0,0.0,4.0,5.0,37.0,3.0,9.0,0.5,10,1
SR01118,28.0,Female,Student,8.0,6.5,10.0,5.5,,9.0,9.0,4.0,8.0,1.0,10,1
SR00643,21.0,f,Student,6.0,6.5,8.0,2.0,1.0,5.0,52.0,4.0,6.0,0.5,10,1
SR04768,41.0,Male,Healthcare worker,4.5,4.5,5.5,2.5,2.0,,33.0,3.0,10.0,0.0,10,1
SR00502,34.0,Male,Healthcare Worker,6.0,4.5,5.5,2.0,3.0,4.0,42.0,5.0,12.0,0.5,10,0
SR04067,19.0,Non-binary,Student,7.5,7.5,10.0,6.0,3.0,9.0,42.0,1.0,6.0,0.0,10,1
SR00334,45.0,Non-binary,retired,8.0,6.5,9.0,1.5,1.0,,15.0,5.0,3.0,0.0,3,0
SR04685,21.0,  Other ,Retired,8.5,5.5,6.0,0.5,0.0,8.0,,5.0,3.0,0.0,2,0
SR00487,37.0,Male,Healthcare Worker,5.0,2.5,2.0,,1.0,,4.0,5.0,9.0,1.0,10,1
SR01963,25.0,Male,Young Professional,7.5,6.5,5.5,4.5,3.0,5.0,26.0,6.0,10.0,1.5,10,1
SR00394,21.0,Female,Yng Professional,6.5,,12.0,,5.0,,22.0,3.0,10.0,1.0,10,1
SR04843,25.0,Female,Young Professional,5.0,6.0,,3.5,2.0,6.0,25.0,5.0,9.0,1.5,10,1
SR04867,36.0,Non-binary,Freelancer,6.5,4.5,5.5,3.0,1.0,7.0,32.0,6.0,9.0,0.0,10,1
SR01756,19.0,Male,Teacher,8.5,5.5,9.0,0.5,3.0,6.0,40.0,3.0,7.0,1.5,10,1
SR02516,74.0,Male,Retired,6.5,3.0,4.0,,3.0,9.0,10.0,0.0,5.0,0.0,4,0
SR03586,78.0,Female,Retired,9.5,2.0,2.5,3.0,0.0,9.0,25.0,4.0,,1.0,0,0
SR04316,45.0,Female,Healthcare Worker,5.0,8.5,11.5,0.0,1.0,7.0,20.0,2.0,7.0,0.0,10,1
SR04967,71.0,Male,Retired,8.5,1.0,1.0,1.5,1.0,8.0,20.0,3.0,,0.5,3,0
SR02100,37.0,Male,Young Professional,,5.5,10.0,0.5,-1.0,10.0,,2.0,11.0,1.5,10,1
SR03600,20.0,Male,Student,6.0,8.0,10.0,2.0,2.0,7.0,28.0,4.0,1.0,0.0,10,1
SR04122,77.0,Male,Retired,7.0,5.5,5.5,2.5,,9.0,8.0,6.0,,0.0,5,0
SR00030,69.0,Female,Retired,7.5,5.0,7.0,1.0,1.0,7.0,12.0,4.0,5.0,0.5,4,0
SR00066,55.0,Woman,Teacher,7.5,6.0,8.5,1.5,0.0,6.0,22.0,4.0,9.0,0.5,5,0
SR00839,23.0,Female,Young Professional,,,5.5,3.5,4.0,6.0,57.0,,5.0,1.5,10,1
SR03907,76.0,female,Retired,8.0,1.0,2.0,3.0,1.0,8.0,3.0,5.0,5.0,0.0,3,0
SR03774,38.0,Woman,Business Owner,5.5,10.0,14.0,3.5,6.0,5.0,31.0,3.0,8.0,0.0,10,1
SR04636,120.0,Other,Student,9.0,5.5,6.5,2.0,1.0,8.0,45.0,2.0,6.0,1.0,10,1
SR03162,29.0,Female,Teacher,10.0,4.0,7.0,3.5,1.0,7.0,17.0,1.0,6.0,0.0,6,1
SR02660,62.0,Male,Healthcare Worker,7.5,1.5,4.0,2.5,6.0,4.0,24.0,1.0,13.0,0.5,6,0
SR04616,37.0,Male,Teacher,6.0,5.0,6.5,6.5,2.0,5.0,22.0,5.0,8.0,1.5,10,0
SR04629,48.0,Other,Retired,6.5,6.0,8.5,3.0,1.0,6.0,10.0,5.0,0.0,0.0,7,0
SR02452,43.0,Male,Teacher,6.5,3.0,6.0,4.0,4.0,8.0,3.0,5.0,8.0,1.5,6,0
SR02847,18.0,Male,Business Owner,8.0,5.5,7.5,4.0,3.0,7.0,22.0,4.0,12.0,1.0,7,0
SR01145,68.0,Other,Retired,6.0,7.0,8.5,2.0,0.0,8.0,6.0,5.0,3.0,0.0,7,0
SR03079,53.0,Female,Freelancer,7.5,,5.0,0.0,,4.0,46.0,2.0,7.0,0.0,10,1
SR01104,0.0,Male,Young Professional,7.0,4.5,5.0,0.5,3.0,5.0,33.0,3.0,10.0,0.5,10,1
SR00169,52.0,MALE,Business Owner,7.0,7.0,8.0,2.0,3.0,10.0,52.0,4.0,11.0,0.5,10,1
SR01671,23.0,Male,Student,8.5,9.0,11.5,3.0,2.0,7.0,,3.0,3.0,1.0,10,0
SR02571,19.0,Female,Student,5.0,10.0,14.0,5.0,1.0,6.0,53.0,3.0,1.0,0.5,10,1
SR02378,20.0,Female,Business Owner,4.5,9.5,11.5,4.0,3.0,,61.0,6.0,12.0,0.0,10,1
SR04396,40.0,Male,Business Owner,6.5,10.5,,,,6.0,59.0,1.0,7.0,0.0,10,1
SR04258,48.0,F,Business Owner,,11.5,15.0,5.5,2.0,7.0,36.0,4.0,8.0,0.5,10,1
SR03863,27.0,Female,Healthcare Worker,5.0,3.5,3.0,0.0,4.0,7.0,42.0,7.0,8.0,0.5,10,1
SR00024,39.0,Other,Retired,6.5,4.5,6.0,0.0,0.0,9.0,35.0,3.0,7.0,0.0,10,1
SR02634,21.0,Male,Healthcare Worker,5.0,4.0,4.0,1.0,2.0,6.0,4.0,3.0,11.0,0.0,10,1
SR03341,43.0,Female,Young Professional,7.5,3.0,4.0,5.5,30.0,8.0,50.0,2.0,8.0,0.5,10,1
SR02216,20.0,Female,Freelancer,6.5,7.5,12.0,6.0,4.0,6.0,50.0,5.0,6.0,0.5,10,1
SR03683,56.0,Female,Freelancer,6.0,7.0,10.5,2.0,2.0,2.0,65.0,0.0,9.0,0.5,10,1
SR04725,28.0,Female,Young Professional,6.0,5.0,5.0,1.5,3.0,6.0,48.0,3.0,11.0,1.0,10,1
